,angle
798,0.1853185594081878
6329,-3.123623371124268
7089,0.9867507815361024
3580,-1.3322499990463257
8531,0.0005663947085849
6953,2.3326876163482666
504,-1.0557667016983032
7208,-2.05549430847168
7678,1.238009691238403
4501,2.32443904876709
1531,1.872283101081848
3221,0.1278756111860275
3959,2.299318313598633
3877,-0.2331162244081497
3175,2.2313756942749023
1449,0.1757613867521286
69,-1.0143163204193115
2154,-0.0273607168346643
7207,-0.1696029305458068
8223,1.4592353105545044
3365,-2.727020740509033
2086,0.059737779200077
6328,2.7381844520568848
1492,-2.46069598197937
7184,-2.6125471591949463
6942,2.7459633350372314
3580,-1.3322499990463257
8142,-2.3470253944396973
699,2.6245477199554443
3637,2.607900857925415
8313,-0.3292056322097778
752,1.8792427778244016
6006,2.3792107105255127
6085,-0.0192343927919864
8650,3.0684750080108643
2203,1.0683919191360474
8865,3.098062038421631
7748,-3.045109272003174
2599,2.1195263862609863
7047,3.0783133506774902
6689,-0.4070322513580322
77,-0.2857361733913421
6059,-1.9751148223876955
7229,-0.8528875708580017
6997,1.8859261274337769
4644,-2.4487147331237797
780,-1.7114673852920532
2485,2.495813369750977
1306,2.3966007232666016
6994,-0.702843427658081
3967,-3.093015670776367
483,0.0229526087641716
3596,-2.984374523162842
1769,-0.0693720430135726
8933,-2.556364059448242
7553,-1.8383556604385376
6825,2.37549376487732
1591,1.512952208518982
3548,0.2098080068826675
1340,-1.741104006767273
4529,-0.7802746891975403
178,-0.0183558724820613
3744,-1.5416144132614136
6362,-2.164293050765991
4372,-0.0509930774569511
5428,-1.9246972799301147
8742,1.5236632823944092
449,-1.7013086080551147
7888,-0.1033265963196754
8121,-0.3064850866794586
5940,-2.3531179428100586
3161,-3.1375746726989746
6110,-0.9100732803344728
7744,0.959572970867157
3114,-0.0423453114926815
5935,-2.45315933227539
8289,-0.3064850866794586
1025,-0.0583567172288894
2137,-0.3302532136440277
5158,-0.6948703527450562
18,0.362739622592926
1997,0.0408242978155612
472,-2.542426109313965
7642,2.915935516357422
5587,2.4182238578796387
1319,-1.741104006767273
5986,-2.133873224258423
3199,1.4518699645996094
6415,-0.0791180208325386
7461,-0.0752842798829078
4064,2.053959608078003
164,-2.472848415374756
4450,2.770949602127075
127,-1.615627408027649
4334,-0.9755338430404664
6814,2.415714979171753
2055,1.4707820415496826
3184,0.4922007620334625
3122,-0.6845690608024597
8186,1.982577919960022
2859,-2.205430746078491
2757,-0.0082488590851426
5121,-2.0574398040771484
4470,-2.0995852947235107
4861,-2.209880352020264
4782,-2.4079928398132324
731,2.309013843536377
6532,0.3550843000411987
6221,-1.7839863300323486
511,-1.0529121160507202
7355,-0.9295735955238342
2789,-1.733730435371399
3487,-0.6628445982933044
84,-2.224853515625
6094,-0.4587022364139557
5353,-1.5373190641403198
5188,0.1748213469982147
5587,2.4182238578796387
8603,-2.941222906112671
